FFU Air Flow Rate [kg/s],ULPA Pressure Drop [Pa],Cleanroom Overpressure [Pa],Process Exhaust [kg/s],Cooling Bifurcation Temperature [C],Chiller [MWha],LT Chiller [MWha],Booster Heat Pump [MWha],Hot Water Pump [MWha],Heat Recovery Water Pump [MWha],Chilled Water to Fab Pump [MWha],Chilled Water to PCW Pump [MWha],LT Chilled Water To Fab Pump [MWha],LT Chilled Water To PCW Pump [MWha],Cooling Water For Chiller Pump [MWha],Cooling Water For LT Chiller Pump [MWha],Cleanroom MAU Fan [MWha],Cleanroom Exhaust Fan [MWha],Cleanroom FFU Fan [MWha],Chem Room AHU Fan [MWha],Fac AHU Fan [MWha],Fac Recirculation Fan [MWha],Total [MWha]
302.97456,45,30,100,17.5,5856.015985,1700.924342,239.6253708,33.68088607,664.0035816,663.4604331,551.88,245.744845,40.76028,1693.133755,337.7438626,2810.165419,461.36,265.4057146,280.9329664,312.3965504,1.752,16158.98599
302.97456,45,30,100,20,5832.550477,1804.561708,240.2141023,33.69616387,663.8758773,655.5770586,551.88,248.3602594,40.76028,1689.598041,338.1278011,2810.165419,461.36,265.4057146,280.9329664,312.3965504,1.752,16231.21442
302.97456,45,30,100,22.5,5819.495938,1867.735202,239.8476724,33.69035551,663.9933343,652.7996236,551.88,249.2962027,40.76028,1687.658037,337.5561112,2810.165419,461.36,265.4057146,280.9329664,312.3965504,1.752,16276.72541
302.97456,45,30,100,25,5813.960067,2020.873458,239.2632234,33.66747142,663.7113091,651.933746,551.88,250.4153894,40.76028,1686.828134,337.2021479,2810.165419,461.36,265.4057146,280.9329664,312.3965504,1.752,16422.50788
302.97456,50,30,100,15,5903.616416,1553.713151,238.7314754,33.66228175,664.3201314,693.881736,551.88,237.1771463,40.76028,1700.291614,334.3188914,2810.165419,461.36,294.8952384,280.9329664,312.3965504,1.752,16113.8553
302.97456,50,30,100,17.5,5856.015985,1700.924342,239.6253708,33.68088607,664.0035816,663.4604331,551.88,245.744845,40.76028,1693.133755,337.7438626,2810.165419,461.36,294.8952384,280.9329664,312.3965504,1.752,16188.47552
302.97456,50,30,100,20,5832.550477,1804.561708,240.2141023,33.69616387,663.8758773,655.5770586,551.88,248.3602594,40.76028,1689.598041,338.1278011,2810.165419,461.36,294.8952384,280.9329664,312.3965504,1.752,16260.70394
302.97456,50,30,100,22.5,5819.495938,1867.735202,239.8476724,33.69035551,663.9933343,652.7996236,551.88,249.2962027,40.76028,1687.658037,337.5561112,2810.165419,461.36,294.8952384,280.9329664,312.3965504,1.752,16306.21493
302.97456,50,30,100,25,5813.960067,2020.873458,239.2632234,33.66747142,663.7113091,651.933746,551.88,250.4153894,40.76028,1686.828134,337.2021479,2810.165419,461.36,294.8952384,280.9329664,312.3965504,1.752,16451.9974
302.97456,57.5,30,100,15,5903.616416,1553.713151,238.7314754,33.66228175,664.3201314,693.881736,551.88,237.1771463,40.76028,1700.291614,334.3188914,2810.165419,461.36,339.1295242,280.9329664,312.3965504,1.752,16158.08958
302.97456,57.5,30,100,17.5,5856.015985,1700.924342,239.6253708,33.68088607,664.0035816,663.4604331,551.88,245.744845,40.76028,1693.133755,337.7438626,2810.165419,461.36,339.1295242,280.9329664,312.3965504,1.752,16232.7098
302.97456,57.5,30,100,20,5832.550477,1804.561708,240.2141023,33.69616387,663.8758773,655.5770586,551.88,248.3602594,40.76028,1689.598041,338.1278011,2810.165419,461.36,339.1295242,280.9329664,312.3965504,1.752,16304.93823
302.97456,57.5,30,100,22.5,5819.495938,1867.735202,239.8476724,33.69035551,663.9933343,652.7996236,551.88,249.2962027,40.76028,1687.658037,337.5561112,2810.165419,461.36,339.1295242,280.9329664,312.3965504,1.752,16350.44922
302.97456,57.5,30,100,25,5813.960067,2020.873458,239.2632234,33.66747142,663.7113091,651.933746,551.88,250.4153894,40.76028,1686.828134,337.2021479,2810.165419,461.36,339.1295242,280.9329664,312.3965504,1.752,16496.23169
302.97456,60,30,100,15,5903.616416,1553.713151,238.7314754,33.66228175,664.3201314,693.881736,551.88,237.1771463,40.76028,1700.291614,334.3188914,2810.165419,461.36,353.8742861,280.9329664,312.3965504,1.752,16172.83434
302.97456,60,30,100,17.5,5856.015985,1700.924342,239.6253708,33.68088607,664.0035816,663.4604331,551.88,245.744845,40.76028,1693.133755,337.7438626,2810.165419,461.36,353.8742861,280.9329664,312.3965504,1.752,16247.45456
302.97456,60,30,100,20,5832.550477,1804.561708,240.2141023,33.69616387,663.8758773,655.5770586,551.88,248.3602594,40.76028,1689.598041,338.1278011,2810.165419,461.36,353.8742861,280.9329664,312.3965504,1.752,16319.68299
302.97456,60,30,100,22.5,5819.495938,1867.735202,239.8476724,33.69035551,663.9933343,652.7996236,551.88,249.2962027,40.76028,1687.658037,337.5561112,2810.165419,461.36,353.8742861,280.9329664,312.3965504,1.752,16365.19398
302.97456,60,30,100,25,5813.960067,2020.873458,239.2632234,33.66747142,663.7113091,651.933746,551.88,250.4153894,40.76028,1686.828134,337.2021479,2810.165419,461.36,353.8742861,280.9329664,312.3965504,1.752,16510.97645
302.97456,35,30,115,15,5915.574499,1641.87963,243.5749305,34.1521074,669.9782703,701.2966973,551.88,247.1731224,40.76028,1702.067181,338.0491637,3182.815819,530.564,206.4266669,280.9329664,312.3965504,1.752,16601.27388
302.97456,35,30,115,17.5,5862.432861,1830.125611,243.4051663,34.14993051,669.5390144,665.7228496,551.88,256.4088986,40.76028,1694.080717,340.7331883,3182.815819,530.564,206.4266669,280.9329664,312.3965504,1.752,16704.12652
302.97456,35,30,115,20,5836.460114,2287.103101,244.224762,34.16692887,669.5004513,656.4922839,551.88,259.9171724,40.76028,1690.168838,339.8277652,3182.815819,530.564,206.4266669,280.9329664,312.3965504,1.752,17125.3897
302.97456,35,30,115,22.5,5821.994722,2248.665109,243.9817064,34.16478832,669.5207323,653.218935,551.88,261.2568142,40.76028,1688.021014,339.2668171,3182.815819,530.564,206.4266669,280.9329664,312.3965504,1.752,17067.61892
302.97456,35,30,115,25,5815.676018,2481.154209,243.6888928,34.14672582,669.413405,652.154626,551.88,261.3414542,40.76028,1687.084204,338.7638056,3182.815819,530.564,206.4266669,280.9329664,312.3965504,1.752,17290.95162
302.97456,45,30,115,15,5915.574499,1641.87963,243.5749305,34.1521074,669.9782703,701.2966973,551.88,247.1731224,40.76028,1702.067181,338.0491637,3182.815819,530.564,265.4057146,280.9329664,312.3965504,1.752,16660.25293
302.97456,45,30,115,17.5,5862.432861,1830.125611,243.4051663,34.14993051,669.5390144,665.7228496,551.88,256.4088986,40.76028,1694.080717,340.7331883,3182.815819,530.564,265.4057146,280.9329664,312.3965504,1.752,16763.10557
302.97456,45,30,115,20,5836.460114,2287.103101,244.224762,34.16692887,669.5004513,656.4922839,551.88,259.9171724,40.76028,1690.168838,339.8277652,3182.815819,530.564,265.4057146,280.9329664,312.3965504,1.752,17184.36875
302.97456,45,30,115,22.5,5821.994722,2248.665109,243.9817064,34.16478832,669.5207323,653.218935,551.88,261.2568142,40.76028,1688.021014,339.2668171,3182.815819,530.564,265.4057146,280.9329664,312.3965504,1.752,17126.59797
302.97456,45,30,115,25,5815.676018,2481.154209,243.6888928,34.14672582,669.413405,652.154626,551.88,261.3414542,40.76028,1687.084204,338.7638056,3182.815819,530.564,265.4057146,280.9329664,312.3965504,1.752,17349.93067
302.97456,50,30,115,15,5915.574499,1641.87963,243.5749305,34.1521074,669.9782703,701.2966973,551.88,247.1731224,40.76028,1702.067181,338.0491637,3182.815819,530.564,294.8952384,280.9329664,312.3965504,1.752,16689.74246
302.97456,50,30,115,17.5,5862.432861,1830.125611,243.4051663,34.14993051,669.5390144,665.7228496,551.88,256.4088986,40.76028,1694.080717,340.7331883,3182.815819,530.564,294.8952384,280.9329664,312.3965504,1.752,16792.59509
302.97456,50,30,115,20,5836.460114,2287.103101,244.224762,34.16692887,669.5004513,656.4922839,551.88,259.9171724,40.76028,1690.168838,339.8277652,3182.815819,530.564,294.8952384,280.9329664,312.3965504,1.752,17213.85827
302.97456,50,30,115,22.5,5821.994722,2248.665109,243.9817064,34.16478832,669.5207323,653.218935,551.88,261.2568142,40.76028,1688.021014,339.2668171,3182.815819,530.564,294.8952384,280.9329664,312.3965504,1.752,17156.08749
302.97456,50,30,115,25,5815.676018,2481.154209,243.6888928,34.14672582,669.413405,652.154626,551.88,261.3414542,40.76028,1687.084204,338.7638056,3182.815819,530.564,294.8952384,280.9329664,312.3965504,1.752,17379.4202
302.97456,57.5,30,115,15,5915.574499,1641.87963,243.5749305,34.1521074,669.9782703,701.2966973,551.88,247.1731224,40.76028,1702.067181,338.0491637,3182.815819,530.564,339.1295242,280.9329664,312.3965504,1.752,16733.97674
302.97456,57.5,30,115,17.5,5862.432861,1830.125611,243.4051663,34.14993051,669.5390144,665.7228496,551.88,256.4088986,40.76028,1694.080717,340.7331883,3182.815819,530.564,339.1295242,280.9329664,312.3965504,1.752,16836.82938
302.97456,57.5,30,115,20,5836.460114,2287.103101,244.224762,34.16692887,669.5004513,656.4922839,551.88,259.9171724,40.76028,1690.168838,339.8277652,3182.815819,530.564,339.1295242,280.9329664,312.3965504,1.752,17258.09256
302.97456,57.5,30,115,22.5,5821.994722,2248.665109,243.9817064,34.16478832,669.5207323,653.218935,551.88,261.2568142,40.76028,1688.021014,339.2668171,3182.815819,530.564,339.1295242,280.9329664,312.3965504,1.752,17200.32178
302.97456,57.5,30,115,25,5815.676018,2481.154209,243.6888928,34.14672582,669.413405,652.154626,551.88,261.3414542,40.76028,1687.084204,338.7638056,3182.815819,530.564,339.1295242,280.9329664,312.3965504,1.752,17423.65448
